label,title_new,emoji,views,subs,channel_name,publish_time
0,"['주식', '머니투데이', '선수', '해석', '해석', '선진', '뷰티', '사이언스']",False,247.0,1470.0,상위1% 부자클럽  박해석 TV,202204
0,"['별로', '안보', '손해', '신상', '뷰티', '팩폭', '리뷰', '입생로랑', '핑크', '쿠션', '커버', '페리페라', '팔레트', '지크', '초콜릿', '블랙', '쿨톤']",True,55310.0,292000.0,HOONION,202204
0,"['뷰티', '경력', '향수', '레이어', '향수', '노하우']",False,4579.0,26400.0,백지수의 뷰티백과,202205
0,"['뷰티', '테크', '기술', '적용', '글로벌', '맞춤', '화장품', '사례']",False,73.0,1940.0,올코스,202205
0,"['뷰티', '투자자', '라면', '하나', '금융투자', '박종대', '연구원']",False,3443.0,137000.0,이효석아카데미,202205
0,"['따끈따끈', '뷰티', '신상', '하울', '올리브영', '브랜드', '선물', '공실이']",True,995.0,28300.0,공실이 Gongsil,202204
0,"['뷰티', '뷰티', '가치']",True,340.0,622000.0,골근위수영뷰티아카데미,202204
0,"['여름', '환절기', '시즌', '뷰티', '패션', '꿀템', '가지', '피부', '진정', '샴푸', '향기', '조합', '여름', '패션', '하울', '진정', '스킨', '케어', '루틴', '진정', '추천', '폴로', '보이즈', '셔츠']",True,8624.0,116000.0,You need 윤이든,202205
0,"['시골', '청년', '아르마니', '뷰티', '모델']",False,33386.0,19100.0,반전쩔지,202205
0,"['세상', '이다희', '존멋', '연기', '특화', '인간', '사이다', '이다희', '모음', '뷰티', '사이드', '방송']",True,3466.0,250000.0,DRAMA Voyage,202205
0,"['메이플', '황금마차', '이벤트', '의상', '뷰티', '어워즈']",False,41398.0,49500.0,온앤온,202205
0,"['메이플', '업데이트', '뷰티', '어워즈', '헤어', '성형', '착용', '선착순', '특별', '판매', '모자', '무려', '메이플스토리']",False,1744.0,1460.0,노우주,202205
0,"['캘리포니아', '아몬드', '협회', '뷰티', '간식', '아몬드', '체중', '관리']",False,301783.0,9480.0,California Almonds,202204
0,"['알로', '뷰티', '꿀팁', '공예', '천연', '미용', '여성', '문제']",False,55666.0,446000.0,123 GO! Korean,202204
0,"['모습', '최고', '뷰티']",False,29000.0,3860000.0,5 분 Tricks,202204
0,"['지속', '마이', '뷰티', '아이즈', '글램', '몬스터', '글루']",False,397.0,10600.0,Mybeautyeyes마이뷰티아이즈,202204
0,"['메이플스토리', '맑음', '뷰티', '어워즈', '시작', '한번', '진행', '스페셜', '이벤트', '투표', '기간', '뷰티', '어워즈', '헤어', '성형', '목록', '판매', '기간', '가격', '정리']",False,61630.0,165000.0,메이플스토리맑음,202204
0,"['선진', '뷰티', '사이언스', '화성', '밸브', '기계', '아이', '에스', '이커머스', '오토', '룽투', '코리아', '하인', '코리아', '드래곤플라이', '글로벌', '일진', '홀딩스', '에스', '오토메이션', '연우']",False,677.0,6300.0,블루넌주식TV,202204
0,"['헤어스타일', '변신', '뷰티', '트리트먼트']",False,1478.0,40600.0, MAGA 12K,202204
0,"['점막', '아이라인', '교육', '일부', '영상', '이엠', '뷰티', '솔루션', '뷰티', '솔루션']",False,548.0,27200.0,JM Beauty Solutions JM뷰티솔루션스,202204
0,"['토탈', '뷰티', '창업', '창업', '반영구', '창업', '뷰티', '마케팅', '뷰티', '인테리어', '뷰티', '매출']",False,720.0,40.0,라온더뷰티raon지혜,202204
0,"['청담동', '뷰티', '원장', '뷰티', '정보', '수강', '운영', '고민', '라면', '스터닝슬비']",False,440.0,65.0,STUNNING슬비,202204
0,"['올리브영', '추천', '비건', '뷰티', '진정', '대박', '수분크림', '통째', '토너', '패드', '선크림', '최근', '최애', '프라이머', '커버', '쿠션', '틴트', '쏭비']",False,8936.0,14300.0,쏭비SSONGBEE,202204
0,"['독일', '피엠', '콜라겐', '뷰티']",False,53.0,722.0,미라클러MTV,202204
0,"['뷰티', '월드컵', '쿠션', '쿠션']",False,170880.0,520000.0,Yoo True,202205
