조사년월,동태코드,물가지수,가중치
2015-01-01,30814AA,99,1
2015-01-01,30961AA,98,1
2015-01-01,31213AA,96,1
2015-01-01,30214AA,96,1
2015-01-01,302123AA,98,1
2015-01-01,30115AA,94,1
2015-01-01,313126AA,96,1
2015-01-01,3092AA,103,1
2015-01-01,306243AA,97,1
2015-01-01,307221AA,105,1
2015-01-01,302133AA,99,1
2015-01-01,311AA,97,1
2015-01-01,304126AA,91,1
2015-01-01,304121AA,82,1
2015-01-01,305111AA,80,1
2015-01-01,305621AA,100,1
2015-01-01,30211AA,102,1
2015-01-01,30622AA,95,1
2015-01-01,30221AA,97,1
2015-01-01,30213AA,99,1
2015-01-01,3112AA,98,1
2015-01-01,30412AA,91,1
2015-01-01,309111AA,96,1
2015-01-01,312131AA,97,1
2015-01-01,3121AA,97,1
2015-01-01,101122AA,97,1
2015-01-01,307AA,106,1
2015-01-01,308144AA,102,1
2015-01-01,3058AA,98,1
2015-01-01,302214AA,96,1
2015-01-01,301173AA,0,1
2015-01-01,30112AA,99,1
2015-01-01,31121AA,98,1
2015-01-01,30572AA,102,1
2015-01-01,3032AA,98,1
2015-01-01,307215AA,123,1
2015-01-01,309612AA,101,1
2015-01-01,3095AA,99,1
2015-01-01,313AA,97,1
2015-01-01,305511AA,99,1
2015-01-01,302121AA,98,1
2015-01-01,301152AA,94,1
2015-01-01,311242AA,96,1
2015-01-01,311221AA,97,1
2015-01-01,305113AA,94,1
2015-01-01,31311AA,97,1
2015-01-01,311141AA,96,1
2015-01-01,302141AA,97,1
2015-01-01,311211AA,97,1
2015-01-01,10142AA,101,1
2015-01-01,3055AA,99,1
2015-01-01,3021AA,97,1
2015-01-01,_AA,99,1
2015-01-01,312AA,97,1
2015-01-01,301121AA,99,1
2015-01-01,30563AA,100,1
2015-01-01,305633AA,101,1
2015-01-01,30131AA,96,1
2015-01-01,305114AA,106,1
2015-01-01,31212AA,0,1
2015-01-01,1AA,100,1
2015-02-01,30712AA,106,1
2015-02-01,305811AA,99,1
2015-02-01,3071AA,105,1
2015-02-01,303221AA,99,1
2015-02-01,3072AA,104,1
2015-02-01,31011AA,99,1
2015-02-01,30711AA,97,1
2015-02-01,304131AA,103,1
2015-02-01,3081AA,100,1
2015-02-01,3131AA,97,1
2015-02-01,310163AA,99,1
2015-02-01,30941AA,99,1
2015-02-01,305212AA,91,1
2015-02-01,30581AA,99,1
2015-02-01,311151AA,98,1
2015-02-01,30561AA,99,1
2015-02-01,309212AA,0,1
2015-02-01,305411AA,0,1
2015-02-01,309513AA,97,1
2015-02-01,309521AA,98,1
2015-02-01,303AA,99,1
2015-02-01,312121AA,0,1
2015-02-01,312112AA,97,1
2015-02-01,313113AA,98,1
2015-02-01,30921AA,103,1
2015-02-01,31014AA,98,1
2015-02-01,3094AA,99,1
2015-02-01,307122AA,102,1
2015-02-01,313112AA,98,1
2015-02-01,307141AA,107,1
2015-02-01,309311AA,99,1
2015-02-01,310131AA,100,1
2015-02-01,30322AA,99,1
2015-02-01,3022AA,98,1
2015-02-01,30114AA,107,1
2015-02-01,31116AA,98,1
2015-02-01,311131AA,97,1
2015-02-01,305112AA,91,1
2015-02-01,302145AA,97,1
2015-02-01,302142AA,97,1
2015-02-01,30212AA,98,1
2015-02-01,304123AA,110,1
2015-02-01,307125AA,110,1
2015-02-01,304AA,107,1
2015-02-01,101411AA,94,1
2015-02-01,308143AA,98,1
2015-02-01,305622AA,99,1
2015-02-01,309211AA,103,1
2015-02-01,310141AA,98,1
2015-02-01,307131AA,105,1
2015-02-01,30571AA,97,1
2015-02-01,305711AA,97,1
2015-02-01,302AA,98,1
2015-02-01,31112AA,97,1
2015-02-01,305311AA,98,1
2015-02-01,312113AA,97,1
2015-02-01,_AA,100,1
2015-02-01,312AA,97,1
2015-02-01,301121AA,101,1
2015-02-01,30563AA,101,1
2015-02-01,305633AA,102,1
2015-02-01,30131AA,97,1
2015-02-01,305114AA,102,1
2015-02-01,31212AA,0,1
2015-02-01,1AA,99,1
2015-02-01,30713AA,105,1
2015-02-01,31114AA,97,1
2015-02-01,310153AA,99,1
2015-02-01,302111AA,102,1
2015-02-01,301311AA,97,1
2015-02-01,307214AA,107,1
2015-02-01,310121AA,97,1
2015-02-01,311212AA,98,1
2015-02-01,307127AA,108,1
2015-02-01,30512AA,0,1
2015-02-01,308146AA,99,1
2015-02-01,306221AA,97,1
2015-02-01,307124AA,100,1
2015-02-01,311132AA,99,1
2015-02-01,3051AA,95,1
2015-02-01,309112AA,105,1
2015-02-01,3057AA,99,1
2015-02-01,10141AA,94,1
2015-02-01,30911AA,104,1
2015-02-01,30952AA,97,1
2015-02-01,3093AA,100,1
2015-02-01,3096AA,99,1
2015-02-01,304122AA,99,1
2015-02-01,1014AA,99,1
2015-02-01,30714AA,107,1
2015-02-01,305611AA,99,1
2015-02-01,301AA,99,1
2015-02-01,30531AA,98,1
2015-02-01,309512AA,103,1
2015-02-01,31111AA,98,1
2015-02-01,31016AA,99,1
2015-02-01,310AA,98,1
2015-02-01,3101AA,98,1
2015-02-01,310161AA,98,1
2015-02-01,30551AA,100,1
2015-02-01,307121AA,103,1
2015-02-01,311121AA,97,1
2015-02-01,309321AA,100,1
2015-02-01,30932AA,100,1
2015-02-01,31115AA,98,1
2015-02-01,308142AA,0,1
2015-02-01,3091AA,104,1
2015-02-01,3056AA,100,1
2015-02-01,310151AA,97,1
2015-02-01,3062AA,97,1
2015-02-01,3054AA,0,1
2015-02-01,30413AA,105,1
2015-02-01,30521AA,94,1
2015-02-01,309622AA,0,1
2015-02-01,309611AA,98,1
2015-02-01,312132AA,97,1
2015-02-01,3013AA,97,1
2015-02-01,307113AA,97,1
2015-02-01,30541AA,0,1
2015-02-01,310111AA,99,1
2015-02-01,304124AA,111,1
2015-02-01,3041AA,107,1
2015-02-01,304132AA,107,1
2015-02-01,30814AA,100,1
2015-02-01,30961AA,99,1
2015-02-01,31213AA,97,1
2015-02-01,30214AA,97,1
2015-02-01,302123AA,98,1
2015-02-01,30115AA,95,1
2015-02-01,313126AA,97,1
2015-02-01,3092AA,103,1
2015-02-01,306243AA,98,1
2015-02-01,307221AA,100,1
2015-02-01,302133AA,99,1
2015-02-01,311AA,98,1
2015-02-01,304126AA,116,1
2015-02-01,304121AA,105,1
2015-02-01,305111AA,89,1
2015-02-01,305621AA,99,1
2015-02-01,30211AA,102,1
2015-02-01,30622AA,97,1
2015-02-01,310122AA,99,1
2015-02-01,304128AA,107,1
2015-02-01,10112AA,97,1
2015-02-01,101AA,99,1
2015-02-01,101421AA,100,1
2015-02-01,311161AA,97,1
2015-02-01,3111AA,98,1
2015-02-01,309412AA,99,1
2015-02-01,30931AA,99,1
2015-02-01,311162AA,98,1
2015-02-01,302132AA,98,1
2015-02-01,301142AA,107,1
2015-02-01,31312AA,97,1
2015-02-01,30962AA,97,1
2015-02-01,309413AA,98,1
2015-02-01,1011AA,97,1
2015-02-01,307112AA,97,1
2015-02-01,30722AA,102,1
2015-02-01,309AA,102,1
2015-02-01,305211AA,95,1
2015-02-01,308AA,100,1
2015-02-01,3052AA,94,1
2015-02-01,31113AA,98,1
2015-02-01,3011AA,99,1
2015-02-01,30624AA,98,1
2015-02-01,3053AA,98,1
2015-02-01,30951AA,102,1
2015-02-01,30117AA,0,1
2015-02-01,31124AA,98,1
2015-02-01,311256AA,98,1
2015-02-01,30221AA,98,1
2015-02-01,30213AA,99,1
2015-02-01,3112AA,98,1
2015-02-01,30412AA,107,1
2015-02-01,309111AA,97,1
2015-02-01,312131AA,98,1
2015-02-01,3121AA,97,1
2015-02-01,101122AA,97,1
2015-02-01,307AA,105,1
2015-02-01,308144AA,103,1
2015-02-01,3058AA,99,1
2015-02-01,302214AA,97,1
2015-02-01,301173AA,0,1
2015-02-01,30112AA,101,1
2015-02-01,31121AA,98,1
2015-02-01,30572AA,103,1
2015-02-01,3032AA,99,1
2015-02-01,307215AA,116,1
2015-02-01,309612AA,102,1
2015-02-01,3095AA,101,1
2015-02-01,313AA,97,1
2015-02-01,305511AA,100,1
2015-02-01,302121AA,98,1
2015-02-01,301152AA,95,1
2015-02-01,311242AA,97,1
2015-02-01,311221AA,98,1
2015-02-01,305113AA,96,1
2015-02-01,31311AA,98,1
2015-02-01,311141AA,97,1
2015-02-01,302141AA,97,1
2015-02-01,311211AA,98,1
2015-02-01,10142AA,100,1
2015-02-01,3055AA,100,1
2015-02-01,3021AA,98,1
2015-02-01,307213AA,103,1
2015-02-01,307211AA,100,1
2015-02-01,31015AA,98,1
2015-02-01,310124AA,0,1
2015-02-01,30721AA,105,1
2015-02-01,305122AA,0,1
2015-02-01,31211AA,98,1
2015-02-01,305631AA,97,1
2015-02-01,302211AA,99,1
2015-02-01,31125AA,98,1
2015-02-01,304125AA,107,1
2015-02-01,31122AA,98,1
2015-02-01,312111AA,98,1
2015-02-01,3AA,100,1
2015-02-01,308113AA,0,1
2015-02-01,30562AA,99,1
2015-02-01,305722AA,101,1
2015-02-01,302213AA,0,1
2015-02-01,307222AA,103,1
2015-02-01,311111AA,98,1
2015-02-01,30811AA,100,1
2015-02-01,308112AA,100,1
2015-02-01,31012AA,98,1
2015-02-01,31013AA,100,1
2015-02-01,306AA,97,1
2015-02-01,309522AA,97,1
2015-02-01,310123AA,97,1
2015-02-01,311241AA,99,1
2015-02-01,30511AA,95,1
2015-02-01,305AA,96,1
2015-03-01,311162AA,98,1
2015-03-01,307214AA,104,1
2015-03-01,302132AA,99,1
2015-03-01,301142AA,107,1
2015-03-01,31312AA,98,1
2015-03-01,30962AA,98,1
2015-03-01,309413AA,100,1
2015-03-01,307112AA,98,1
2015-03-01,30722AA,103,1
2015-03-01,309AA,103,1
2015-03-01,305211AA,100,1
2015-03-01,308AA,101,1
2015-03-01,3052AA,99,1
2015-03-01,30114AA,107,1
2015-03-01,31116AA,98,1
2015-03-01,311131AA,98,1
2015-03-01,302145AA,98,1
2015-03-01,302142AA,98,1
2015-03-01,30212AA,99,1
2015-03-01,304123AA,105,1
2015-03-01,307125AA,105,1
2015-03-01,307124AA,98,1
2015-03-01,311132AA,99,1
2015-03-01,3051AA,102,1
2015-03-01,309112AA,105,1
2015-03-01,305112AA,100,1
2015-03-01,3057AA,101,1
2015-03-01,10141AA,95,1
2015-03-01,30911AA,104,1
2015-03-01,30952AA,98,1
2015-03-01,3093AA,101,1
2015-03-01,3096AA,100,1
2015-03-01,304122AA,105,1
2015-03-01,1014AA,98,1
2015-03-01,30714AA,105,1
2015-03-01,305611AA,100,1
2015-03-01,301AA,99,1
2015-03-01,30531AA,99,1
2015-03-01,309512AA,104,1
2015-03-01,31111AA,100,1
2015-03-01,31016AA,99,1
2015-03-01,310AA,99,1
2015-03-01,3101AA,99,1
2015-03-01,31125AA,99,1
2015-03-01,304125AA,108,1
2015-03-01,31122AA,99,1
2015-03-01,312111AA,98,1
2015-03-01,3AA,101,1
2015-03-01,308113AA,0,1
2015-03-01,30562AA,100,1
2015-03-01,305722AA,101,1
2015-03-01,302213AA,0,1
2015-03-01,307222AA,104,1
2015-03-01,311111AA,100,1
2015-03-01,30811AA,101,1
2015-03-01,308112AA,101,1
2015-03-01,310161AA,99,1
2015-03-01,30551AA,101,1
2015-03-01,307121AA,102,1
2015-03-01,311121AA,99,1
2015-03-01,30932AA,100,1
2015-03-01,31115AA,99,1
2015-03-01,308142AA,0,1
2015-03-01,3091AA,104,1
2015-03-01,30712AA,104,1
2015-03-01,305811AA,100,1
2015-03-01,3071AA,104,1
2015-03-01,303221AA,100,1
2015-03-01,3072AA,104,1
2015-03-01,31011AA,100,1
2015-03-01,30711AA,98,1
2015-03-01,304131AA,103,1
2015-03-01,3081AA,101,1
2015-03-01,3131AA,99,1
2015-03-01,310163AA,99,1
2015-03-01,30941AA,100,1
2015-03-01,305212AA,92,1
2015-03-01,30581AA,100,1
2015-03-01,311151AA,99,1
2015-03-01,30561AA,100,1
2015-03-01,309212AA,0,1
2015-03-01,305411AA,0,1
2015-03-01,309513AA,98,1
2015-03-01,309521AA,99,1
2015-03-01,303AA,100,1
2015-03-01,312121AA,0,1
2015-03-01,312112AA,98,1
2015-03-01,313113AA,99,1
2015-03-01,30921AA,104,1
2015-03-01,31014AA,101,1
2015-03-01,3094AA,100,1
2015-03-01,307122AA,101,1
2015-03-01,313112AA,100,1
2015-03-01,307141AA,105,1
2015-03-01,309311AA,100,1
2015-03-01,310131AA,100,1
2015-03-01,30322AA,100,1
2015-03-01,3022AA,99,1
2015-03-01,310122AA,100,1
2015-03-01,304128AA,102,1
2015-03-01,10112AA,98,1
2015-03-01,101AA,98,1
2015-03-01,101421AA,99,1
2015-03-01,311161AA,98,1
2015-03-01,3111AA,99,1
2015-03-01,309412AA,100,1
2015-03-01,30931AA,100,1
2015-03-01,307AA,104,1
2015-03-01,308144AA,104,1
2015-03-01,3058AA,100,1
2015-03-01,302214AA,98,1
2015-03-01,301173AA,0,1
2015-03-01,30112AA,101,1
2015-03-01,31121AA,98,1
2015-03-01,30572AA,103,1
2015-03-01,3032AA,100,1
2015-03-01,307215AA,116,1
2015-03-01,309612AA,103,1
2015-03-01,3095AA,102,1
2015-03-01,313AA,99,1
2015-03-01,1011AA,98,1
2015-03-01,31113AA,99,1
2015-03-01,3011AA,99,1
2015-03-01,30624AA,98,1
2015-03-01,3053AA,99,1
2015-03-01,30951AA,102,1
2015-03-01,30117AA,0,1
2015-03-01,31124AA,99,1
2015-03-01,311256AA,99,1
2015-03-01,304AA,107,1
2015-03-01,101411AA,95,1
2015-03-01,308143AA,98,1
2015-03-01,305622AA,99,1
2015-03-01,309211AA,104,1
2015-03-01,307131AA,104,1
2015-03-01,30571AA,100,1
2015-03-01,305711AA,100,1
2015-03-01,310141AA,101,1
2015-03-01,302AA,99,1
2015-03-01,31112AA,99,1
2015-03-01,305311AA,99,1
2015-03-01,312113AA,98,1
2015-03-01,_AA,101,1
2015-03-01,312AA,98,1
2015-03-01,301121AA,101,1
2015-03-01,30563AA,102,1
2015-03-01,305633AA,102,1
2015-03-01,30131AA,98,1
2015-03-01,305114AA,102,1
2015-03-01,31212AA,0,1
2015-03-01,1AA,98,1
2015-03-01,30713AA,104,1
2015-03-01,31114AA,98,1
2015-03-01,310153AA,98,1
2015-03-01,302111AA,102,1
2015-03-01,301311AA,98,1
2015-03-01,310121AA,98,1
2015-03-01,311212AA,98,1
2015-03-01,307127AA,107,1
2015-03-01,30512AA,0,1
2015-03-01,308146AA,100,1
2015-03-01,306221AA,98,1
2015-03-01,307213AA,102,1
2015-03-01,307211AA,105,1
2015-03-01,31015AA,98,1
2015-03-01,310124AA,0,1
2015-03-01,30721AA,104,1
2015-03-01,305122AA,0,1
2015-03-01,31211AA,98,1
2015-03-01,305631AA,98,1
2015-03-01,302211AA,100,1
2015-03-01,305511AA,101,1
2015-03-01,302121AA,99,1
2015-03-01,301152AA,96,1
2015-03-01,311242AA,98,1
2015-03-01,311221AA,99,1
2015-03-01,305113AA,102,1
2015-03-01,31311AA,99,1
2015-03-01,311141AA,98,1
2015-03-01,302141AA,99,1
2015-03-01,311211AA,99,1
2015-03-01,10142AA,99,1
2015-03-01,3055AA,101,1
2015-03-01,3021AA,99,1
2015-03-01,31012AA,99,1
2015-03-01,31013AA,100,1
2015-03-01,306AA,98,1
2015-03-01,309522AA,98,1
2015-03-01,310123AA,99,1
2015-03-01,311241AA,99,1
2015-03-01,30511AA,102,1
2015-03-01,305AA,100,1
2015-03-01,3056AA,101,1
2015-03-01,310151AA,98,1
2015-03-01,3062AA,98,1
2015-03-01,3054AA,0,1
2015-03-01,30413AA,106,1
2015-03-01,30521AA,99,1
2015-03-01,309622AA,0,1
2015-03-01,309611AA,99,1
2015-03-01,312132AA,98,1
2015-03-01,3013AA,98,1
2015-03-01,307113AA,98,1
2015-03-01,30541AA,0,1
2015-03-01,310111AA,100,1
2015-03-01,304124AA,107,1
2015-03-01,3041AA,107,1
2015-03-01,304132AA,109,1
2015-03-01,30814AA,101,1
2015-03-01,30961AA,100,1
2015-03-01,31213AA,98,1
2015-03-01,30214AA,98,1
2015-03-01,302123AA,100,1
2015-03-01,30115AA,96,1
2015-03-01,313126AA,98,1
2015-03-01,309321AA,100,1
2015-03-01,3092AA,104,1
2015-03-01,306243AA,98,1
2015-03-01,307221AA,102,1
2015-03-01,302133AA,98,1
2015-03-01,311AA,99,1
2015-03-01,304126AA,113,1
2015-03-01,304121AA,107,1
2015-03-01,305111AA,106,1
2015-03-01,305621AA,100,1
2015-03-01,30211AA,102,1
2015-03-01,30622AA,98,1
2015-03-01,30221AA,99,1
2015-03-01,30213AA,98,1
2015-03-01,3112AA,99,1
2015-03-01,30412AA,107,1
2015-03-01,309111AA,98,1
2015-03-01,312131AA,99,1
2015-03-01,3121AA,98,1
2015-03-01,101122AA,98,1
2015-04-01,307124AA,96,1
2015-04-01,311132AA,97,1
2015-04-01,3051AA,104,1
2015-04-01,309112AA,101,1
2015-04-01,3057AA,97,1
2015-04-01,10141AA,90,1
2015-04-01,30911AA,100,1
2015-04-01,302145AA,96,1
2015-04-01,30952AA,96,1
2015-04-01,3093AA,97,1
2015-04-01,3096AA,97,1
2015-04-01,304122AA,107,1
2015-04-01,1014AA,96,1
2015-04-01,30714AA,102,1
2015-04-01,305611AA,99,1
2015-04-01,301AA,98,1
