title,channel_name,views,subs,publish_time,channel_id,video_id
시술보다 위뷰티?? 🤯🤯🤯 비대칭 눈썹을 대칭으로! 위뷰티 내손성형라이브 253회,골근위수영뷰티아카데미,681,622000,2022-04-01T09:00:19Z,UC854UQk63V8afMRnhcH_C7g,Of10WVUuCyI
[랜선뷰티] &#39;배우 최정윤&#39;은 파우치가 무려 3개?! X루사까지 들고다니는 맥시멀리스트의 파우치 속 대공개! ㄴ0ㄱ!!,Kstar,1139,,2022-05-11T12:00:12Z,UCAIAn1gmUWEukE2e5BQ0Zew,7HmLr8jnVhA
Amazing hairstyle transformation AND BEAUTY TREATMENTS/놀라운 헤어스타일 변신과 뷰티 트리트먼트, MAGA 12K,2340,40600,2022-04-19T11:54:11Z,UCWdp3srfVWl7U2NDacxQKQg,rGWThIW1DO8
VLOG :: 진저슈가가 재판매 된다고?! (Feat.입술관리법) | 뷰티블로거 시절 흑역사 대공개 | 뚝딱이 댄싱머신 | 수다떨기,조효진 HYOJIN,209967,1780000,2022-05-07T12:01:59Z,UCuZu8NrpBG4WPXRi-hPBl-A,iIHhX_JBAcg
"뷰티렐라, 새로운 소식과 함께 돌아왔습니다",뷰티렐라tv,188,4570,2022-04-12T23:00:11Z,UCL_BTmK0iP2QXPBPXD8SVwQ,OYOcO1qqfcA
Amazing hairstyle transformation AND BEAUTY TREATMENTS/놀라운 헤어스타일 변신과 뷰티 트리트먼트, MAGA 12K,1210,40600,2022-04-22T11:25:33Z,UCWdp3srfVWl7U2NDacxQKQg,r6Qk_25KkD8
[체인지뷰티16강]헤어라인실전편/3D입체 헤어라인 시술영상/자연스러운 헤어라인 연출하기!,체인지뷰티아카데미,1193,7760,2022-04-06T10:34:14Z,UC_BkwWV_fv2HaaRPqsMSTqw,OCboDrkP2Ek
𝐍𝐞𝐰! 업데이트 뷰티템🌹 쉬는 동안 썼던 것중 제일 좋았던 것 13개 모아옴! ✧,한별Hanbyul,50781,752000,2022-04-09T11:02:13Z,UC9gW47NqzI1x7e8qsflvUUw,sLcKYICWfeE
"급등주 - 선진뷰티사이언스, 화장품, 테마주, 상한가, 아모센스 적중.",평택촌놈TV,1052,14700,2022-04-14T06:45:57Z,UCbkpC3Yp3j168dPQsN8l17g,9g7Ns5Dtqds
[뷰티앤부티 시즌7] 삼시세끼 다 챙겨 먹으면서 다이어트할 수 있도록 도와주는 다이어트 보조제,뷰티앤부티,274,,2022-05-02T07:52:55Z,UC4f3wmVRxNCH1-psmAq_EdA,wS7oM3ORuJs
⚽️뷰티월드컵⚽️ 쿠션편!! 1위 쿠션은 뭘까?!,Yoo True,170880,520000,2022-05-18T14:21:50Z,UCH2mJnztSdNh8ADp2KmtUMQ,IKQcBg-b5Uk
💃🏻발렌티노 뷰티 메이크업 | Valentino Beauty Make-up,sobong official,8861,393000,2022-04-25T09:00:15Z,UCQ_uqhCWc2Xg3wOUCeezHTA,cElMOy9rQNY
🍒[Stage-Mix] BEAUTYBOX (뷰티박스) ★ RAT A TAT,원래곱슬,123,4890,2022-05-15T23:30:04Z,UCEm5DN3XN0P3ry5rHm25dNA,y5tw7LOZlFY
뷰티 디렉터가 직접 알려주는 뷰티 펀딩 성공 팁ㅣ카테고리성공비법서ㅣ메이커아카데미,메이커 아카데미,202,3210,2022-04-07T11:00:17Z,UC4AMbNJY7i4_MEcZIBrEMqw,hFSfupGyWBE
"아쌉뷰티 7화 | 화장품 성분의 모든 것 | 히알루론산, 페녹시에탄올, 당근추출물",바이브VAIV,68,1700,2022-05-20T07:00:00Z,UCe-PKPEl2nkwrC__8Qy1HUg,-SdplnEFuUI
"sub) 메이크업샵 ASMR 지방 웨딩샵에서 청순한 웨딩 헤어,메이크업 받아봤어요! (ft.손수)",뷰티숨BEAUTYSOOM,180286,133000,2022-05-11T17:35:10Z,UCLyq1gz11P-IYFmP093JaAw,o44ANa9Iwi4
[뷰티앤부티 시즌7] 두피의 상태를 건강하게 만들어주는 기능성 샴푸,뷰티앤부티,415,,2022-05-02T07:38:30Z,UC4f3wmVRxNCH1-psmAq_EdA,wNDY8ogemBM
예쁘고 좋은 건 크게 보라고 배웠어요.ㅣ뷰티쁠(BEAUTY+),beautypl,10014,102000,2022-05-13T06:00:03Z,UCRWssU-cbbCmyujhQhWBZmA,7muD6N96B4Q
@체인지뷰티아카데미 17강/붉은잔흔커버/엠보시술풀영상/엠보눈썹/눈썹반영구/자연눈썹시술영상,체인지뷰티아카데미,2219,7760,2022-04-18T10:40:57Z,UC_BkwWV_fv2HaaRPqsMSTqw,vSjtXP-5d_8
"[미국주식Flex]_울타뷰티(ULTA US) - 기대 이상의 수요로 호실적 기록, 상승세 이어갈 전망",깨비증권 마블TV [KB증권],355,121000,2022-04-07T07:15:02Z,UCD0k4Kq7SJROxxV-9N5v8IA,hU_ZVIZcakU
"이거 진짜 좋아🔥다이어트&amp;뷰티 추천템| 뱃살 가려주는 운동복, 화장실 4번 간 효소,7년 차 탈색모의 두피템",Queen Solmee,31753,259000,2022-04-30T13:01:51Z,UCahWSp7DQGJfXU1UX2BuqBA,dQpkflO3riU
네일샵 브이로그 | 택배 언박싱 | 휴무보내기 | 보름뷰티 Vlog #1,보름뷰티 borumbeatuy,388,139,2022-04-01T06:07:04Z,UCKgrq9Zrn3d0dUp4QM4kAGQ,9CuZ-X5S0VI
[랜선뷰티] 동안 메이크업으로 인형으로 변신 가능?! 이세은의 동안 메이크업 공개~,Kstar,141,,2022-05-04T12:00:18Z,UCAIAn1gmUWEukE2e5BQ0Zew,LbHuVNTFzgY
"흔들리는 K-뷰티의 위상, 북미시장 선택한 LG생활건강 [이슈톡톡]",채널Who,471,30200,2022-05-17T21:00:03Z,UCzFLDzS-auqZZo5dQ47IEMQ,8X2MU17Lqwc
[랜선뷰티_2회예고] 워킹맘 배우 &#39;최정윤&#39; 일상 대공개!,Kstar,2969,,2022-05-06T02:51:10Z,UCAIAn1gmUWEukE2e5BQ0Zew,722WqVSvvdo
SUB) 무해한 일상을 위한 클린뷰티템ㅣ완벽하지 않아도 제로웨이스트 실천하기 Clean beauty for zero waste lifestyle,어느덧오늘Onul,6292,33100,2022-05-02T16:42:02Z,UCiyAxuDj-Y47PJzpHqfO_cg,zYS1dDQ-SZU
벚꽃이 지면 (I.O.I) COVER｜뷰티 뮤직💖,로나유니버스 RonaUniverse,3800,2470,2022-05-18T06:00:03Z,UCDJB1xloJbjli0TYSiWwjEw,Iipl2W6FZEw
독일피엠 마시는 콜라겐 &#39;뷰티&#39; 알아보기 sp2,미라클러MTV,87,722,2022-04-17T23:08:36Z,UCbcbeqp23YOGGoNE7ytXo4g,rEOIM1I2kuI
드디어 노마스크?…일상회복 조짐에 패션·뷰티도 기대감↑ / 머니투데이방송 (뉴스),MTN 머니투데이방송,5083,853000,2022-04-05T08:50:51Z,UClErHbdZKUnD1NyIUeQWvuQ,2NqwEpbER2g
#주식 #MTN  #머니투데이 #선수의해석  #박해석 #선진뷰티사이언스,상위1% 부자클럽  박해석 TV,247,1470,2022-04-18T10:00:02Z,UCX-NZ2JP2AF8BygCojPf2VA,52FbJkgIsOg
"왜 난 별로지..?😅 안보면 손해! 신상 뷰티템 팩폭리뷰🔍 | (입생로랑 핑크 쿠션, 네이밍 커버 파데, 페리페라 젠쿨한 팔레트, 데이지크 초콜릿, 에크멀 블랙 | 쿨톤)",HOONION,55310,292000,2022-04-05T12:10:33Z,UC3ZQbE9FKR8TwHYqTNcIXQQ,l-3pdbqgYlQ
[뷰티 경력 22년] 향수 레이어링으로 안 흔한 향수에서 나만의 향으로 만드는 노하우!,백지수의 뷰티백과,4579,26400,2022-05-17T10:00:14Z,UCdehyf7mVGfdXaSxcIy0Vcg,RhW7rgQnb84
뷰티테크 기술이 적용된 다양한 글로벌 맞춤형화장품 사례,올코스,73,1940,2022-05-06T01:00:26Z,UCSOeqtMwdI1HybJzZ2_34tw,GjPFoqMYWnQ
K뷰티 투자자라면 꼭 보셔야 합니다(w.하나금융투자 박종대 연구원),이효석아카데미,3443,137000,2022-05-18T09:00:18Z,UCxvdCnvGODDyuvnELnLkQWw,kwdWYtA5Ycw
따끈따끈 많아도 너무 많은 4월 뷰티 신상 하울🛍 (#올리브영 #내돈내산 #브랜드선물) | GONGSIL 공실이,공실이 Gongsil,995,28300,2022-04-28T15:29:18Z,UCimIKPCOzAb_oCukidbP8Aw,AgvvyOtEN74
예뻐지고 싶은데 너무 비싸다 😥😥 위뷰티가 알려주는 위뷰티의 가치!,골근위수영뷰티아카데미,340,622000,2022-04-15T09:00:19Z,UC854UQk63V8afMRnhcH_C7g,MVQoKYNNRXo
"봄〰️여름 환절기 시즌 뷰티&amp;패션 꿀템 10가지🫶🏻(ft.피부진정,샴푸향기 꿀조합) / 봄여름 패션하울 / 진정 스킨케어 루틴 / 진정세럼 추천 / 폴로 보이즈 셔츠 / 윤이든",You need 윤이든,8624,116000,2022-05-21T11:01:30Z,UC57_jVZTM427hTqYMXf7utA,XfuTtpaEvp4
[랜선뷰티] &#39;작은 파우치가 맵다!&#39; 뭐가 계속 나오는 이수정의 파우치!,Kstar,104,,2022-05-19T08:44:38Z,UCAIAn1gmUWEukE2e5BQ0Zew,4n_l-zrs2tE
시골청년이 조르지오 아르마니 뷰티모델 되는법,반전쩔지,33386,19100,2022-05-21T13:06:50Z,UCgC-hF7y9bNwH_531_O6Z2w,275EZW947jk
【덕박구리📁】 호락호락하지 않은 세상은 이다희처럼😎 존멋 연기 특화! 인간 사이다 이다희 모음ㅣ뷰티인사이드｜JTBC 181001 방송 외,DRAMA Voyage,3466,250000,2022-05-22T09:45:33Z,UCKuwp52MjSk-zeFRpchSheg,ypjQqLL96i0
[메이플] 황금마차 이벤트 의상은 이걸로 받으세요! feat. 뷰티어워즈,온앤온,41398,49500,2022-05-17T13:41:13Z,UCop7QCLcdzTpcYZzMu1mFAg,KR0hlsky0Zo
"메이플 드디어 업데이트된 뷰티어워즈 헤어,성형 착용샷 및 선착순으로 20만개 특별 판매하는 모자까지!! 근데 무려 200만 메소!!??[메이플스토리, 노우주]",노우주,1744,1460,2022-05-19T02:17:34Z,UCV_IIZ4YpUoiLBQkpYd-o7Q,xh_P71ra8Q4
캘리포니아 아몬드 협회 GIF ④ 뷰티간식 아몬드 – 체중관리 편,California Almonds,301783,9480,2022-04-20T16:59:48Z,UCi8_3nuufYI1XHdBxILlIAw,R3HZCKwja0A
