,기간,한국 수출금액,한국의대중국수출,한국의대미국수출,한국의대베트남수출,한국의대홍콩수출,한국의대일본수출,GDP,Growth_rate
0,2000.01,0.021596739120700478,0.0,0.031762323687898796,0.0009589215311704927,0.019499242961819572,0.040226692724231114,0.0,1.0
1,2000.02,0.031332202014723524,0.002686687787466918,0.026611807623904686,0.0011294904982446109,0.02285431797643724,0.037565638970850315,0.0,1.0
2,2000.03,0.06457229557572623,0.014330259695504305,0.063052007849647,0.0035563598028565957,0.029916993242834644,0.05899182405811067,0.0,1.0
3,2000.04,0.04736782499332663,0.009332819925216548,0.039954585769820104,0.004778922270588909,0.026016966605387035,0.04273462812060631,0.02139877363628295,0.7735849056603774
4,2000.05,0.06849689952423492,0.030340600791938677,0.08351001704395107,0.0047959937068776885,0.027937600027897178,0.0498841571784409,0.02139877363628295,0.7735849056603774
5,2000.06,0.08013857880604656,0.0284783534653167,0.08794784170204546,0.0039658479167487635,0.027651497499181596,0.04983461191618212,0.02139877363628295,0.7735849056603774
6,2000.07,0.06506422220449147,0.0263345163483147,0.09173764928684165,0.002736881088169083,0.026641428434703227,0.04782411320299272,0.036967718880031024,0.7735849056603774
7,2000.08,0.07134247728454722,0.03193077542562624,0.09278432577142738,0.001686445335494325,0.030886053846606837,0.05045111174156515,0.036967718880031024,0.7735849056603774
8,2000.09,0.07791026170328606,0.02531715762148372,0.11542865542544073,0.00212791319751446,0.032511995342158845,0.06842604450353985,0.036967718880031024,0.7735849056603774
9,2000.1,0.08008414243858046,0.027257117998485583,0.11178712734273993,0.002039796132155717,0.035581898338818224,0.05817836479779935,0.0534787451331165,0.5723270440251573
10,2000.11,0.07517487890009981,0.034964801366580936,0.09874975981624279,0.0035963796629652992,0.03253503444688985,0.06662916565237441,0.0534787451331165,0.5723270440251573
11,2000.12,0.0749376954352615,0.026478308582321933,0.12207205185940923,0.003870228465987781,0.028303892940760564,0.06133504033652461,0.0534787451331165,0.5723270440251573
12,2001.01,0.030742459356687422,0.00027419180144795663,0.040450073926983264,0.0,0.01309578263916562,0.04543516632294804,0.03546285012405941,0.5220125786163522
13,2001.02,0.04418407697968645,0.019742707250731836,0.021798935876872618,0.002601438617894563,0.021132184921278278,0.039828679791911445,0.03546285012405941,0.5220125786163522
14,2001.03,0.05879468366532091,0.02635760523884341,0.05454152145488862,0.004164773826132529,0.025170573247070754,0.04716421689826182,0.03546285012405941,0.5220125786163522
15,2001.04,0.020813628807009373,0.021605022839655152,0.01484281387480518,0.004085407518104793,0.025610811591420465,0.02515535166759364,0.06392482396833842,0.509433962264151
16,2001.05,0.04329103445875892,0.02587877050091021,0.022638604661306735,0.004402583244707919,0.031944421003860496,0.03440214673961296,0.06392482396833842,0.509433962264151
17,2001.06,0.03618268251556472,0.02921751155768837,0.03734087036437086,0.004353403834173314,0.020272713813974195,0.02967614660935003,0.06392482396833842,0.509433962264151
18,2001.07,0.006998446196702672,0.021052660317238195,0.015449842094765544,0.00254160820841276,0.012715694173146396,0.012264565405664896,0.07278043895304363,0.42138364779874216
19,2001.08,0.014086281755839643,0.017984861833072283,0.029598208486850124,0.002379324616315119,0.012757608087129075,0.012613407661963574,0.07278043895304363,0.42138364779874216
20,2001.09,0.026996911591775134,0.01987412394772803,0.05288209380008786,0.00272210164550752,0.018843186469214467,0.019697367535667087,0.07278043895304363,0.42138364779874216
21,2001.1,0.02014867013578375,0.017747993206895865,0.03029165368271474,0.002866621097333653,0.02033219680880498,0.014459517974427585,0.08783688356820273,0.5723270440251573
22,2001.11,0.025132589462685616,0.02003376515698921,0.04119720952042679,0.004081642917607499,0.01883373963781933,0.022178919369648706,0.08783688356820273,0.5723270440251573
23,2001.12,0.01689687509431048,0.018943727919435993,0.01021381061170845,0.003979073469785498,0.018397720296439147,0.008666800731361765,0.08783688356820273,0.5723270440251573
24,2002.01,0.006801748524537602,0.016748156838649803,0.021231492510238672,0.0020200318830859553,0.013743775457200468,0.0,0.08134396067761361,0.6540880503144655
25,2002.02,0.0,0.005647548166533747,0.0,0.0015503167847526946,0.00948241245384311,0.0009022770729202739,0.08134396067761361,0.6540880503144655
26,2002.03,0.04223646637683164,0.03838933799958075,0.044378554248472556,0.004326644831082641,0.024898496300795978,0.01130669562335053,0.08134396067761361,0.6540880503144655
27,2002.04,0.04097051018959682,0.0440911622803794,0.04517019951099368,0.006601070965705872,0.024459306503246445,0.01072872710787566,0.11400490887867218,0.6792452830188679
28,2002.05,0.059709916193466536,0.05009516817449666,0.052777922439592076,0.01198480792543395,0.028736807652215132,0.018461306039008807,0.11400490887867218,0.6792452830188679
29,2002.06,0.035465199568967785,0.04275747824657847,0.010531381432772683,0.006636638215670863,0.03204470926014817,0.013424588728922479,0.11400490887867218,0.6792452830188679
30,2002.07,0.044963212154050185,0.05497145377239987,0.04091177528760178,0.0047204872364989756,0.029224736022435194,0.020061696682790578,0.12007814832131977,0.7169811320754718
31,2002.08,0.05565234802533835,0.056689234960862145,0.04432587356484748,0.004872974584693832,0.025469208061285775,0.015330253234968588,0.12007814832131977,0.7169811320754718
32,2002.09,0.05454641021706068,0.06184678931076243,0.044336277257849964,0.00516039368509499,0.023347943015856718,0.01883947358994223,0.12007814832131977,0.7169811320754718
33,2002.1,0.07698677590579271,0.08772822090726409,0.07827550551647068,0.007988752726197389,0.028174071341403456,0.028742430192973775,0.15300203395343423,0.6918238993710693
34,2002.11,0.07910785737109748,0.08228263501735086,0.07063788294866925,0.007791196405508773,0.028027867306140097,0.034001753954408756,0.15300203395343423,0.6918238993710693
